"group","ID"
"all","G3418"
"all","G5982"
"all","G4858"
"all","G5835"
"all","G5658"
"all","G5688"
"all","G5282"
"all","G3712"
"all","G4369"
"all","G5186"
"all","G5772"
"all","G3855"
"all","G4640"
"all","G3503"
"all","G5596"
"all","G6415"
"all","G5272"
"all","G6472"
"all","G4970"
"all","G3908"
"all","G3581"
"all","G4038"
"all","G4246"
"all","G5594"
"all","G4738"
"all","G4927"
"all","G5335"
"all","G5947"
"all","G4353"
"all","G3501"
"all","G5165"
"all","G4087"
"all","G3889"
"all","G5243"
"all","G4552"
"all","G6150"
"all","G6230"
"all","G4924"
"all","G3784"
"all","G4983"
"all","G4954"
"all","G4860"
"all","G5684"
"all","G3257"
"all","G4760"
"all","G4107"
"all","G5591"
"all","G5954"
"all","G6203"
"all","G5287"
"all","G4494"
"all","G3254"
"all","G3214"
"all","G3931"
"all","G4734"
"all","G3840"
"all","G3444"
"all","G4491"
"all","G5994"
"all","G4733"
"all","G3827"
"all","G4390"
"all","G5286"
"all","G5612"
"all","G5669"
"all","G4187"
"all","G5981"
"all","G5857"
"all","G4459"
"all","G5839"
"all","G4641"
"all","G4031"
"all","G3866"
"all","G3368"
"all","G3949"
"all","G6371"
"all","G5663"
"all","G5938"
"all","G4522"
"all","G4200"
"all","G3632"
"all","G5913"
"all","G3682"
"all","G5836"
"all","G5340"
"all","G4510"
"all","G5734"
"all","G4582"
"all","G6053"
"all","G5681"
"all","G6467"
"all","G5356"
"all","G5840"
"all","G6057"
"sig","G2112"
"sig","G3147"
"sig","G1839"
"sig","G1703"
"sig","G3095"
"sig","G2694"
"sig","G2861"
"sig","G2107"
"sig","G1173"
"sig","G2400"
"sig","G1103"
"sig","G0062"
"sig","G0063"
"sig","G0112"
"sig","G0844"
"sig","G2638"
"sig","G1361"
"sig","G1474"
"sig","G1110"
"sig","G1399"
"sig","G2039"
"sig","G1030"
"sig","G0620"
"sig","G2041"
"sig","G1599"
"sig","G2040"
"sig","G2334"
"sig","G5134"
"sig","G5598"
"sig","G4928"
"sig","G5004"
"sig","G3573"
"sig","G6046"
"sig","G3935"
"sig","G5246"
"sig","G4427"
"sig","G6450"
"sig","G6169"
"sig","G3387"
"sig","G3543"
"sig","G3320"
"sig","G5788"
"sig","G3647"
"sig","G4119"
"sig","G3219"
"sig","G6355"
"non_sig","G2392"
"non_sig","G1430"
"non_sig","G2822"
"non_sig","G2192"
"non_sig","G3167"
"non_sig","G0435"
"non_sig","G1768"
"non_sig","G2250"
"non_sig","G0429"
"non_sig","G2872"
"non_sig","G0791"
"non_sig","G0132"
"non_sig","G1320"
"non_sig","G2310"
"non_sig","G0547"
"non_sig","G1483"
"non_sig","G1368"
"non_sig","G0334"
"non_sig","G1031"
"non_sig","G1710"
"non_sig","G2522"
"non_sig","G2704"
"non_sig","G0472"
"non_sig","G2141"
"non_sig","G1070"
"non_sig","G1322"
"non_sig","G2139"
"non_sig","G0600"
"non_sig","G0881"
"non_sig","G2150"
"non_sig","G1888"
"non_sig","G1907"
"non_sig","G2624"
"non_sig","G2063"
"non_sig","G1061"
"non_sig","G0762"
"non_sig","G0975"
"non_sig","G3085"
"non_sig","G0770"
"non_sig","G2785"
"non_sig","G0386"
"non_sig","G2326"
"non_sig","G1778"
"non_sig","G0643"
"non_sig","G1215"
"non_sig","G1115"
"non_sig","G2931"
"non_sig","G2774"
"non_sig","G1532"
"non_sig","G1353"
"non_sig","G1496"
"non_sig","G0751"
"non_sig","G1526"
"non_sig","G1889"
"non_sig","G0750"
"non_sig","G3150"
"non_sig","G2285"
"non_sig","G2803"
"non_sig","G2639"
"non_sig","G0367"
"non_sig","G2771"
"non_sig","G0934"
"non_sig","G2118"
"non_sig","G0508"
"non_sig","G1261"
"non_sig","G1283"
"non_sig","G2037"
"non_sig","G0275"
"non_sig","G2869"
"non_sig","G3111"
"non_sig","G0916"
"non_sig","G1267"
"non_sig","G1232"
"non_sig","G2378"
"non_sig","G1759"
"non_sig","G1595"
"non_sig","G0350"
"non_sig","G1929"
"non_sig","G2296"
"non_sig","G0293"
"non_sig","G2405"
"non_sig","G2980"
"non_sig","G0263"
"non_sig","G0380"
"non_sig","G2628"
"non_sig","G0964"
"non_sig","G2410"
"non_sig","G0709"
"non_sig","G2623"
"non_sig","G0809"
"non_sig","G2956"
"non_sig","G2277"
"non_sig","G2162"
"non_sig","G2995"
"non_sig","G1830"
"non_sig","G1680"
"non_sig","G0914"
"non_sig","G3117"
"non_sig","G1803"
"non_sig","G1298"
"non_sig","G0510"
"non_sig","G0787"
"non_sig","G0615"
"non_sig","G1780"
"non_sig","G3020"
"non_sig","G1691"
"non_sig","G2621"
"non_sig","G2815"
"non_sig","G0777"
"non_sig","G1844"
"non_sig","G2764"
"non_sig","G2760"
"non_sig","G2982"
"non_sig","G3154"
"non_sig","G2659"
"non_sig","G2902"
"non_sig","G0917"
"non_sig","G0460"
"non_sig","G2431"
"non_sig","G2814"
"non_sig","G0535"
"non_sig","G0091"
"non_sig","G2272"
"non_sig","G0796"
"non_sig","G0140"
"non_sig","G0301"
"non_sig","G1384"
"non_sig","G2840"
"non_sig","G2776"
"non_sig","G3098"
"non_sig","G1468"
"non_sig","G0007"
"non_sig","G2853"
"non_sig","G0420"
"non_sig","G2281"
"non_sig","G2361"
"non_sig","G2684"
"non_sig","G0715"
"non_sig","G2481"
"non_sig","G2474"
"non_sig","G2217"
"non_sig","G3032"
"non_sig","G0162"
"non_sig","G1051"
"non_sig","G0601"
"non_sig","G2685"
"non_sig","G1829"
"non_sig","G1329"
"non_sig","G2388"
"non_sig","G1377"
"non_sig","G0861"
"non_sig","G0582"
"non_sig","G0848"
"non_sig","G0603"
"non_sig","G2235"
"non_sig","G2555"
"non_sig","G0665"
"non_sig","G0277"
"non_sig","G2719"
"non_sig","G2773"
"non_sig","G1885"
"non_sig","G1554"
"non_sig","G1926"
"non_sig","G0425"
"non_sig","G3050"
"non_sig","G0602"
"non_sig","G2692"
"non_sig","G2002"
"non_sig","G1089"
"non_sig","G2370"
"non_sig","G3047"
"non_sig","G2707"
"non_sig","G0905"
"non_sig","G2946"
"non_sig","G0544"
"non_sig","G1262"
"non_sig","G2459"
"non_sig","G2652"
"non_sig","G1293"
"non_sig","G2396"
"non_sig","G1639"
"non_sig","G2420"
"non_sig","G1967"
"non_sig","G1847"
"non_sig","G2845"
"non_sig","G1409"
"non_sig","G0972"
"non_sig","G1279"
"non_sig","G2903"
"non_sig","G0846"
"non_sig","G2473"
"non_sig","G1789"
"non_sig","G0145"
"non_sig","G1453"
"non_sig","G0175"
"non_sig","G0553"
"non_sig","G2042"
"non_sig","G1919"
"non_sig","G2914"
"non_sig","G2043"
"non_sig","G1492"
"non_sig","G0246"
"non_sig","G0946"
"non_sig","G1164"
"non_sig","G2413"
"non_sig","G2856"
"non_sig","G2559"
"non_sig","G1199"
"non_sig","G0337"
"non_sig","G1984"
"non_sig","G2252"
"non_sig","G2951"
"non_sig","G1370"
"non_sig","G1073"
"non_sig","G1497"
"non_sig","G3003"
"non_sig","G2965"
"non_sig","G1594"
"non_sig","G0507"
"non_sig","G1823"
"non_sig","G1251"
"non_sig","G2408"
"non_sig","G1286"
"non_sig","G2429"
"non_sig","G5779"
"non_sig","G4526"
"non_sig","G3301"
"non_sig","G5279"
"non_sig","G4532"
"non_sig","G3206"
"non_sig","G5349"
"non_sig","G4800"
"non_sig","G6367"
"non_sig","G3750"
"non_sig","G6539"
"non_sig","G6205"
"non_sig","G6463"
"non_sig","G6552"
"non_sig","G5904"
"non_sig","G5164"
"non_sig","G5519"
"non_sig","G4952"
"non_sig","G4729"
"non_sig","G5979"
"non_sig","G3460"
"non_sig","G3509"
"non_sig","G4926"
"non_sig","G5372"
"non_sig","G3275"
"non_sig","G5906"
"non_sig","G5629"
"non_sig","G4551"
"non_sig","G5803"
"non_sig","G5773"
"non_sig","G4590"
"non_sig","G4588"
"non_sig","G3542"
"non_sig","G5513"
"non_sig","G3932"
"non_sig","G6101"
"non_sig","G4194"
"non_sig","G6447"
"non_sig","G3666"
"non_sig","G6373"
"non_sig","G4710"
"non_sig","G5277"
"non_sig","G3684"
"non_sig","G3778"
"non_sig","G5273"
"non_sig","G3481"
"non_sig","G3838"
"non_sig","G5325"
"non_sig","G4825"
"non_sig","G4586"
"non_sig","G5112"
"non_sig","G3707"
"non_sig","G5856"
"non_sig","G5110"
"non_sig","G4184"
"non_sig","G3528"
"non_sig","G4033"
"non_sig","G6007"
"non_sig","G6464"
"non_sig","G6300"
"non_sig","G4663"
"non_sig","G4185"
"non_sig","G6376"
"non_sig","G4106"
"non_sig","G5332"
"non_sig","G3277"
"non_sig","G5666"
"non_sig","G5334"
"non_sig","G4931"
"non_sig","G3319"
"non_sig","G5330"
"non_sig","G5687"
"non_sig","G5952"
"non_sig","G6405"
"non_sig","G4565"
"non_sig","G5320"
"non_sig","G3410"
"non_sig","G6055"
"non_sig","G3357"
"non_sig","G3418"
"non_sig","G5982"
"non_sig","G4858"
"non_sig","G5835"
"non_sig","G5658"
"non_sig","G5688"
"non_sig","G5282"
"non_sig","G3712"
"non_sig","G4369"
"non_sig","G5186"
"non_sig","G5772"
"non_sig","G3855"
"non_sig","G4640"
"non_sig","G3503"
"non_sig","G5596"
"non_sig","G6415"
"non_sig","G5272"
"non_sig","G6472"
"non_sig","G4970"
"non_sig","G3908"
"non_sig","G3581"
"non_sig","G4038"
"non_sig","G4246"
"non_sig","G5594"
"non_sig","G4738"
"non_sig","G4927"
"non_sig","G5335"
"non_sig","G5947"
"non_sig","G4353"
"non_sig","G3501"
"non_sig","G5165"
"non_sig","G4087"
"non_sig","G3889"
"non_sig","G5243"
"non_sig","G4552"
"non_sig","G6150"
"non_sig","G6230"
"non_sig","G4924"
"non_sig","G3784"
"non_sig","G4983"
"non_sig","G4954"
"non_sig","G4860"
"non_sig","G5684"
"non_sig","G3257"
"non_sig","G4760"
"non_sig","G4107"
"non_sig","G5591"
"non_sig","G5954"
"non_sig","G6203"
"non_sig","G5287"
"non_sig","G4494"
"non_sig","G3254"
"non_sig","G3214"
"non_sig","G3931"
"non_sig","G4734"
"non_sig","G3840"
"non_sig","G3444"
"non_sig","G4491"
"non_sig","G5994"
"non_sig","G4733"
"non_sig","G3827"
"non_sig","G4390"
"non_sig","G5286"
"non_sig","G5612"
"non_sig","G5669"
"non_sig","G4187"
"non_sig","G5981"
"non_sig","G5857"
"non_sig","G4459"
"non_sig","G5839"
"non_sig","G4641"
"non_sig","G4031"
"non_sig","G3866"
"non_sig","G3368"
"non_sig","G3949"
"non_sig","G6371"
"non_sig","G5663"
"non_sig","G5938"
"non_sig","G4522"
"non_sig","G4200"
"non_sig","G3632"
"non_sig","G5913"
"non_sig","G3682"
"non_sig","G5836"
"non_sig","G5340"
"non_sig","G4510"
"non_sig","G5734"
"non_sig","G4582"
"non_sig","G6053"
"non_sig","G5681"
"non_sig","G6467"
"non_sig","G5356"
"non_sig","G5840"
"non_sig","G6057"
